MaddeID,SiraNo,Bolum,StandartGrubu,KaynakTuru,StandartMaddeNo,KontrolBasligi,DenetciYonlendirmesi,YontemKodu,DogrulamaYontemi,HazirSecenekler,Olcu1Adi,Olcu1Birimi,Olcu2Adi,Olcu2Birimi,TahrikKosulu,MDKosulu,EsikDeger,EsikOperator,Aktif,AranmazKosulu,GorselReferansi,OlcumTanimlariJSON,OtomatikAranmazKuraliJSON,ResmiMaddeMetni,KaynakFormKodu,KaynakFormRevizyonu,KaynakFormTabloNo,KaynakFormSatirNo,DenetimProfilleriJSON,KaynakFormBolumu,KaynakFormAltGrubu
MAD-0009,9,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.5.1 d,Kuyu dibi aydınlatma anahtarının erişim mesafeleri,Kuyu dibi aydınlatma anahtarının erişim kapısı çerçevesine yatay ve durak/erişim seviyesine dikey mesafesini ölçün.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,"[{""id"":""aydinlatma_anahtari_yatay"",""etiket"":""Kapı çerçevesi iç kenarından yatay mesafe"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 750 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""aydinlatma_anahtari_dusey"",""etiket"":""Erişim/durak seviyesinden düşey yükseklik"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 1000 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null}]",null,"Aydınlatma anahtarı (durak seviyesinden asgari 1,0 m, kapı çerçevesinden azami 0,75 m).",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0010,10,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.2.2,Kuyu dibi erişim yolu aydınlatması,Kuyu dibi erişim yolundaki sabit aydınlatmanın varlığını doğrulayın ve zemin seviyesinde lüksmetre ile ölçün.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Kuyuya erişime izin veren giriş yollarında en az 50 lüks aydınlatma sağlayan sabit bir aydınlatma sağlanmalıdır.,ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0011,11,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.4.1 b,Kuyu dibi çalışma alanı aydınlatması,"Tüm kapılar kapalıyken kuyu dibi zemininden 1000 mm yükseklikte, çalışma alanlarındaki aydınlığı lüksmetreyle ölçün.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Kuyu, kabinin kuyu içindeki seyri boyunca herhangi bir konumunda, tüm kapılar kapalı olduğunda bile, aşağıdaki aydınlatma yoğunluğunu sağlayan, kalıcı olarak kurulmuş elektrikli aydınlatma ile donatılmalıdır: bir kişinin kuyu alt boşluğu zemininin 1,0 m üzerinde ayakta durabileceği, çalışabileceği ve/veya çalışma alanları arasında hareket edebileceği her yerde en az 50 lüks.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0012,12,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.4.1 c,Kuyunun genel aydınlatılması,Kabin veya donanımın gölgelediği alanlar dışında kuyudaki en düşük aydınlık değerini lüksmetreyle ölçün.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Kabin veya aksamın oluşturduğu gölgelerin haricinde, en az 20 lüks.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0013,13,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.5.1 a 1,Kuyu dibi derinliği ve sığ kuyu dibi durdurma anahtarı,Kuyu dibi derinliğini bir kez ölçün; 1600 mm veya altındaysa durdurma anahtarının yatay ve dikey konumunu bu sınırlara göre kontrol edin.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibi derinliği 1600 mm’den fazlaysa sistem Aranmaz olarak ön işaretler; mühendis değiştirebilir.,null,"[{""id"":""kuyu_dibi_derinligi"",""etiket"":""Kuyu dibi derinliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""Bu değer sığ/derin stop ve erişim kapısı koşullarında ortak kullanılır."",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":""kuyu_dibi_derinligi""},{""id"":""sig_stop_yatay"",""etiket"":""Stopun kapı çerçevesinden yatay mesafesi"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 750 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""sig_stop_durak_ustu"",""etiket"":""Stopun en alt durak seviyesinden yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 400 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""sig_stop_pit_ustu"",""etiket"":""Stopun kuyu dibi zemininden yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 2000 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null}]","{""paylasimli_anahtar"":""kuyu_dibi_derinligi"",""operator"":"">"",""deger"":1600}","Kuyu derinliği 1,60 m'den az veya eşit ise durdurma anahtarları (kapı çerçevesi iç kenarından azami 0,75 m yatay mesafede) kuyu dibinden en fazla 2,0 m ve durak seviyesinden en az 0,4 m.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam"",""saha_teyidi_e"",""saha_teyidi_h1""]",null,null
MAD-0014,14,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.5.1 a 2,Derin kuyu dibinde iki durdurma anahtarının konumu,Kuyu dibi derinliği 1600 mm'yi aşıyorsa iki durdurma anahtarının varlığını ve her birinin konum mesafelerini ayrı ayrı ölçün.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibi derinliği 1600 mm veya daha azsa sistem Aranmaz olarak ön işaretler; mühendis değiştirebilir.,null,"[{""id"":""derin_ust_stop_yatay"",""etiket"":""Üst stopun kapı çerçevesinden yatay mesafesi"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 750 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""derin_ust_stop_durak_ustu"",""etiket"":""Üst stopun en alt durak seviyesinden yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 1000 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""derin_alt_stop_pit_ustu"",""etiket"":""Alt stopun kuyu dibi zemininden yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 1200 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null}]","{""paylasimli_anahtar"":""kuyu_dibi_derinligi"",""operator"":""<="",""deger"":1600}","Kuyu derinliği 1,60 m'den fazla ise durdurma anahtarları (kapı çerçevesi iç kenarından azami 0,75 m yatay mesafede) birinci anahtar kuyu dibinden en fazla 1,20 m ve ikinci anahtar durak seviyesinden en az 1,0 m dikey mesafe içinde olmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0015,15,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.1.5.1 a 3,Ayrı kuyu dibi erişim kapısındaki durdurma anahtarı,"Ayrı bir kuyu dibi erişim kapısı varsa, bu kapıdan ulaşılan durdurma anahtarının yatay ve dikey konumunu ölçün.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Ayrı kuyu dibi erişim kapısı yoksa Aranmaz.,null,"[{""id"":""ayri_giris_stop_yatay"",""etiket"":""Ayrı giriş çerçevesinden yatay mesafe"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 750 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""ayri_giris_stop_pit_ustu"",""etiket"":""Kuyu dibi zemininden yükseklik"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 1200 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null}]",null,"Durak kapıları haricinde bir kuyu alt boşluğu erişim kapısı olması durumunda, kuyu alt boşluğu zemininden 1,20 m yükseklikte tek bir durdurma anahtarı sağlanmalıdır. Aynı seviyede kuyu alt boşluğuna erişim sağlayan iki durak kapısı varsa, biri erişim donanımına sahip kuyu alt boşluğu erişim kapısı olarak belirlenmelidir.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0016,16,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.12.1.11.1,Kuyu dibi durdurma anahtarının yapısı ve işareti,Durdurma anahtarını çalıştırarak iki kararlı konumunu ve kazara çalışmaya karşı korumasını deneyin; üzerinde/yakınında DUR-STOP işaretinin bulunduğunu görsel olarak kontrol edin.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Kuyu alt boşluğundaki durdurma anahtarı; iki konumlu dengeye sahip olmalı, kazara çalışmaya karşı korunmalı, üstünde veya yakınında, ""DUR/STOP"" kelimesi bulunmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0017,17,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.2.4 a; 5.2.3.2 a; 5.2.3.3,Derin kuyu dibi için ayrı erişim kapısı,"Kuyu dibi derinliği 2500 mm'yi aşıyorsa erişim kapısının varlığını, net yükseklik/genişlik ölçülerini ve mekanik dayanım deney sonucunu kontrol edin.","A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibi derinliği 2500 mm veya daha azsa sistem Aranmaz olarak ön işaretler; mühendis değiştirebilir.,null,"[{""id"":""erisim_kapisi_net_yukseklik"",""etiket"":""Erişim kapısı net yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 2000 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null},{""id"":""erisim_kapisi_net_genislik"",""etiket"":""Erişim kapısı net genişliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 600 mm"",""kaynak"":""TS EN 81-20:2020"",""paylasimli_anahtar"":null}]","{""paylasimli_anahtar"":""kuyu_dibi_derinligi"",""operator"":""<="",""deger"":2500}","Kuyu alt boşluğu derinliğinin 2,50 m'yi aşması durumunda, bir erişim kapısı olmalıdır. Kuyuya erişim kapıları asgari 2,0 m yüksekliğe ve asgari 0,60 m genişliğe sahip olmalıdır. Yuvarlak veya kare kesitli 0,30 m x 0,30 m'lik bir alana eşit olarak dağıtılmış 1000 N'luk bir kuvvet, kuyu dışından herhangi bir noktada dik açılarla uygulandığında, 15 mm'den daha büyük elastik deformasyona uğramadan dayanım gösterecek bir mekanik dayanıma sahip olmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0018,18,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.2.4 b,Kuyu dibine erişim yönteminin seçimi,Kuyu dibi derinliğini ölçüp 2500 mm sınırına göre erişim kapısı veya kuyu içi merdivenden hangisinin uygulandığını tespit edin.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibi derinliği 2500 mm’den fazlaysa veya uygun ayrı erişim kapısı kullanılıyorsa merdiven için Aranmaz.,null,[],"{""paylasimli_anahtar"":""kuyu_dibi_derinligi"",""operator"":"">"",""deger"":2500}","Kuyu alt boşluğu derinliğinin 2,50 m'yi aşmaması durumunda ya bir erişim kapısı ya da durak kapısından kolayca erişilebilir kuyu içerisinde bir merdiven sağlanmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0019,19,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,5.2.2.4,Kuyu dibi merdiveninin depolama ve hareket güvenliği,Merdivenin muhafaza konumunun hareketli parçalarla çakışıp çakışmadığını inceleyin; çakışıyorsa elektrikli güvenlik tertibatını işlevsel olarak deneyin ve topraklamasını kontrol edin.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,[],null,"Taşınabilir merdiven hareketli parçaların alanına dâhil oluyorsa elektrikli güvenlik tertibatı ile donatılmalı, kuyu dibinde depolanıyorsa sığınma alanına dahil edilmemelidir. (topraklaması olmalıdır.)",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0020,20,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Kuyu dibi merdiveninin sabitlenmesi ve dayanımı,"Merdivenin kalıcı olarak muhafaza edildiğini ve kuyudan çıkarılamadığını doğrulayın; dayanım belgesini/deney sonucunu kontrol edin, deney kuvvetini ölçü alanına yazmayın.","A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,[],null,Kuyu dibi merdiven kuyudan sökülemeyecek şekilde olmalı ve en az 1500 N dayanıma sahip olmalıdır.,ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0021,21,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Hareketli veya katlanabilir merdivenin elle taşınabilirliği,Hareketli veya katlanabilir merdivenin taşınma biçimini gözlemleyin ve kütlesinin 15 kg'ı aşmadığını tartarak veya belgeden doğrulayın.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Sabit veya geri çekilebilir merdiven kullanılıyorsa ya da kuyu dibine ayrı erişim kapısından giriliyorsa Aranmaz.,null,[],null,"Merdivenin portatif olması durumunda azami ağırlığı, durak kapısı eşiğinden kolay ve güvenli şekilde taşınmasını sağlamak üzere 15 kg'ı aşmamalıdır. (Hareketli ve katlanabilir merdivenler (tip 3 ve tip 4) için geçerlidir.)",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0022,22,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Kuyu dibi merdiveninin malzemesi ve korozyon koruması,"Merdivenin malzemesinin alüminyum veya çelik olduğunu, ahşap kullanılmadığını görsel olarak kontrol edin; çelik ise korozyon korumasını inceleyin.","A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,[],null,Alüminyum veya çelikten yapılmalıdır. (yanan malzeme örneğin ahşaptan yapılmamalı),ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0023,23,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Merdivenin durak eşiği üzerindeki tutunma yüksekliği,Merdiven kullanım konumundayken dikmelerin durak eşiği seviyesinden dikey yüksekliğini ölçün.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,"[{""id"":""merdiven_tutunma_yuksekligi"",""etiket"":""Durak eşiği üzerindeki tutunma yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 1100 mm"",""kaynak"":""TS EN 81-20:2020""}]",null,"Uzunluğu durak eşiği seviyesinden dikey olarak asgari 1,10 m yükseklikte olmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0024,24,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Merdiven dikmelerinin kavrama kesiti,Merdiven dikmesinin kesit genişliğini ve derinliğini kumpasla ölçün.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,"[{""id"":""merdiven_dikme_genisligi"",""etiket"":""Dikme genişliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 35 mm"",""kaynak"":""TS EN 81-20:2020""},{""id"":""merdiven_dikme_derinligi"",""etiket"":""Dikme derinliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En fazla 100 mm"",""kaynak"":""TS EN 81-20:2020""}]",null,Merdiven dikmelerinin kesit alanı genişliği 35 mm'yi aşmamalı ve 100 mm'yi derinliği aşmamalıdır.,ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0025,25,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Merdiven basamağının kesiti ve kaymazlığı,"Basamak kesitinin biçimini ve çapını/düz yüzey ölçüsünü ölçün, kaymazlığını elle kontrol edin.","A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,"[{""id"":""merdiven_basamak_kesiti"",""etiket"":""Basamak çapı / düz basma yüzeyi"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 25 mm, en fazla 35 mm"",""kaynak"":""TS EN 81-20:2020""}]",null,Merdiven basamaklarının en kesiti; asgari 25 mm ve azami 35 mm düz basamağa veya çapa sahip dairesel veya çokgen (kare veya 4 kenardan fazla) olmalıdır.,ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0026,26,01 - Kuyu Dibi,81-20,Standart / ÜB.FR.38,EK F,Merdiven basamaklarının net genişliği ve aralığı,Basamak net genişliğini ve ardışık basamaklar arası düşey aralığı ölçün.,"A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,Kuyu dibine merdiven yerine ayrı erişim kapısından giriliyorsa Aranmaz.,null,"[{""id"":""merdiven_basamak_net_genisligi"",""etiket"":""Basamak net genişliği"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""En az 280 mm"",""kaynak"":""TS EN 81-20:2020""},{""id"":""merdiven_basamak_araligi"",""etiket"":""Basamaklar arası düşey mesafe"",""birim"":""mm"",""tur"":""sayi"",""referans_metni"":""250–300 mm"",""kaynak"":""TS EN 81-20:2020""}]",null,"Basamaklar genişliği en az 0,28 m ve basamak aralıkları 0,25-0,3 m arasında eşit olmalıdır.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
